location_idx,lat,lon
64512,51.97,4.698
91107,53.194,6.873
75085,52.456,5.945
70783,52.258,5.5969999999999995
55930,51.574,4.64
50838,51.34,4.002
84450,52.888,6.09
70805,52.258,6.235
73894,52.402,5.336
42322,50.944,5.858
92271,53.248,6.699
81351,52.744,6.699
58671,51.7,4.959
57090,51.628,4.35
57108,51.628,4.872
62559,51.88,4.611
68426,52.15,5.104
66060,52.042,4.35
62167,51.862,4.553
71194,52.276,6.206
55156,51.538,4.814
62169,51.862,4.611
64164,51.952,5.916
66476,52.06,5.104
78554,52.618,4.756
57904,51.664,5.336
68042,52.132,5.2780000000000005
70744,52.258,4.466
49713,51.286,5.307
71151,52.276,4.959
56337,51.592,5.133
51291,51.358,5.829
91096,53.194,6.554
91897,53.23,7.163
79793,52.672,6.757
62560,51.88,4.64
53248,51.448,6.032
73476,52.384,4.524
66103,52.042,5.5969999999999995
54378,51.502,4.872
67310,52.096,6.67
47781,51.196,5.829
88324,53.068,5.336
61037,51.808,5.713
72722,52.348,5.2780000000000005
62931,51.898,4.089
68403,52.15,4.437
69201,52.186,4.959
57117,51.628,5.133
92268,53.248,6.612
77430,52.564,6.09
90679,53.176,5.771
86819,52.996,6.931
70772,52.258,5.2780000000000005
89156,53.104,6.844
52843,51.43,5.5969999999999995
57871,51.664,4.379
49649,51.286,3.451
63329,51.916,4.321
64902,51.988,4.698
61424,51.826,5.626
81283,52.744,4.727
64113,51.952,4.437
61785,51.844,4.785
68871,52.168,6.699
55166,51.538,5.104
79724,52.672,4.756
52064,51.394,5.626
94224,53.338,6.786
77383,52.564,4.727
57896,51.664,5.104
39986,50.836,5.974
80501,52.708,4.6690000000000005
73891,52.402,5.249
75046,52.456,4.814
77053,52.546,6.467
52059,51.394,5.481
64117,51.952,4.553
54018,51.484,5.742
84086,52.87,6.844
71559,52.294,5.481
63338,51.916,4.582
51274,51.358,5.336
62616,51.88,6.264
75049,52.456,4.901
71965,52.312,5.945
86394,52.978,5.916
66864,52.078,5.046
54354,51.502,4.176
74265,52.42,4.785
76275,52.51,6.525
69611,52.204,5.539
77047,52.546,6.293
67290,52.096,6.09
68407,52.15,4.553
65754,52.024,6.786
43491,50.998,5.829
53945,51.484,3.625
46620,51.142,6.09
71950,52.312,5.51
62944,51.898,4.466
68013,52.132,4.437
87976,53.05,6.554
60636,51.79,5.394
65345,52.006,6.235
76224,52.51,5.046
59466,51.736,5.394
52395,51.412,3.915
62164,51.862,4.466
55950,51.574,5.22
89916,53.14,6.264
79790,52.672,6.67
71931,52.312,4.959
84862,52.906,6.728
79731,52.672,4.959
57134,51.628,5.626
86797,52.996,6.293
68828,52.168,5.452
79780,52.672,6.38
87162,53.014,5.568
62964,51.898,5.046
53968,51.484,4.292
59461,51.736,5.249
65747,52.024,6.583
80522,52.708,5.2780000000000005
84045,52.87,5.655
40367,50.854,5.713
68022,52.132,4.698
65682,52.024,4.698
59075,51.718,5.365
54357,51.502,4.263
63400,51.916,6.38
90714,53.176,6.786
63015,51.898,6.525
68083,52.132,6.467
73876,52.402,4.814
64151,51.952,5.539
92633,53.266,5.8870000000000005
91875,53.23,6.525
60984,51.808,4.176
67623,52.114,4.437
62551,51.88,4.379
61821,51.844,5.829
48176,51.214,5.974
71161,52.276,5.249
67647,52.114,5.133
50122,51.304,5.858
61776,51.844,4.524
87987,53.05,6.873
60221,51.772,4.6690000000000005
55519,51.556,4.031
67257,52.096,5.133
94205,53.338,6.235
60250,51.772,5.51
73097,52.366,4.843
76605,52.528,4.785
60200,51.772,4.06
75044,52.456,4.756
64171,51.952,6.119
71928,52.312,4.872
68814,52.168,5.046
53163,51.448,3.567
81714,52.762,5.916
62988,51.898,5.742
57133,51.628,5.5969999999999995
48947,51.25,5.713
70436,52.24,6.844
73111,52.366,5.249
41544,50.908,5.916
68034,52.132,5.046
59442,51.736,4.698
72321,52.33,4.959
56705,51.61,4.495
73489,52.384,4.901
64892,51.988,4.408
90324,53.158,6.786
55143,51.538,4.437
63720,51.934,4.35
54008,51.484,5.452
89520,53.122,6.09
85602,52.942,5.568
61029,51.808,5.481
72711,52.348,4.959
80518,52.708,5.162
